"prep.bl.use.prop.0","prep.mean.days.usage.0","art.init.lag.mean","non.testers.prop.0","tests.per.year.0","transmission.probability.insertive.infected","transmission.probability.receptive.infected","seroconcordant.main.condom.prob","serodiscordant.main.condom.prob","seroconcordant.casual.condom.prob","serodiscordant.casual.condom.prob","prop.steady.sex.acts","prop.casual.sex.acts","incarceration.prob","incarceration.with.cji.prob","jail.serving.time.mean","network.retention.multiplier","post.release.interference.period.mean","substance.use.condom.prob.multiplier","external.infections.per.person.day.min","external.infections.per.person.day.max"
0.31,348,164.8,0.12,1.9,0.000761011,0.0003789091,0.158,0.42,0.436,0.2,0.205,0.119,9.612553e-05,0.000856345,108.8,0.2,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,348,164.8,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,9.612553e-05,0.000856345,108.8,0.2,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,348,164.8,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.2,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,348,217.4,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.2,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,348,217.4,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,252,217.4,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,164,0.6,5.041095892e-06,2.7090410958e-05
0.31,252,217.4,0.12,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.7090410958e-05
0.31,252,217.4,0.14,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.7090410958e-05
0.31,252,217.4,0.14,1.9,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.9983561644e-05
0.31,252,217.4,0.14,2.6,0.000761011,0.0003065333,0.158,0.42,0.436,0.2,0.205,0.119,7.3060942e-05,0.000856345,108.8,0.36,97,0.6,5.041095892e-06,2.9983561644e-05
