"panel","case","time_summary","art_red","prep_red","art_cov","prep_cov","mean","lower","upper"
"A. Intervention use reduction","committed","horizon_mean",0.3375,0,0.3375,0,1.65540725948689,1.55881405526507,1.7578001720229
"A. Intervention use reduction","committed","horizon_mean",0.345,0,0.345,0,1.66941604178345,1.5723578945674,1.7731902669157
"A. Intervention use reduction","committed","horizon_mean",0.3525,0,0.3525,0,1.68338579910088,1.58629632605662,1.78884176454544
"A. Intervention use reduction","committed","horizon_mean",0.36,0,0.36,0,1.69731536968823,1.60011811499284,1.80520795152842
"A. Intervention use reduction","committed","horizon_mean",0.3675,0,0.3675,0,1.71120301833648,1.61333813957294,1.82070566349481
"A. Intervention use reduction","committed","horizon_mean",0.375,0,0.375,0,1.72504670757399,1.62524889014202,1.83655258739681
"A. Intervention use reduction","committed","horizon_mean",0.3825,0,0.3825,0,1.7388443472601,1.63708246641602,1.85164909138241
"A. Intervention use reduction","committed","horizon_mean",0.39,0,0.39,0,1.75259519821871,1.64820943753165,1.86652804666617
"A. Intervention use reduction","committed","horizon_mean",0.3975,0,0.3975,0,1.76630228786463,1.65988951742461,1.88130940799934
"A. Intervention use reduction","committed","horizon_mean",0.4,0,0.4,0,1.77086253577008,1.66378317288895,1.88627676295551
"A. Intervention use reduction","committed","horizon_mean",0.405,0,0.405,0,1.77997114325781,1.67199542158023,1.89650219031316
"A. Intervention use reduction","committed","horizon_mean",0.4125,0,0.4125,0,1.79360727389475,1.68420593627834,1.91237275686974
"A. Intervention use reduction","committed","horizon_mean",0.42,0,0.42,0,1.8072153242916,1.69698543024512,1.92814886223341
"A. Intervention use reduction","committed","horizon_mean",0.4275,0,0.4275,0,1.82079875198288,1.70987151989674,1.94481282521286
"A. Intervention use reduction","committed","horizon_mean",0.435,0,0.435,0,1.83435954932356,1.72315020513685,1.9613802345149
"A. Intervention use reduction","committed","horizon_mean",0.4425,0,0.4425,0,1.84789871540364,1.73593554325529,1.97734125753236
"A. Intervention use reduction","committed","horizon_mean",0.45,0,0.45,0,1.86141662295745,1.74892995684884,1.99334458639568
"A. Intervention use reduction","committed","horizon_mean",0.4575,0,0.4575,0,1.87491257632033,1.761653090585,2.00937077601181
"A. Intervention use reduction","committed","horizon_mean",0.465,0,0.465,0,1.88838461655405,1.77401059624786,2.02544632112995
"A. Intervention use reduction","committed","horizon_mean",0.4725,0,0.4725,0,1.90183048042559,1.78610642835159,2.04114589597537
"A. Intervention use reduction","committed","horizon_mean",0.48,0,0.48,0,1.91524584046226,1.79815665451545,2.05652983003525
"A. Intervention use reduction","committed","horizon_mean",0.4875,0,0.4875,0,1.92862408741695,1.81137938499512,2.07058271221115
"A. Intervention use reduction","committed","horizon_mean",0.495,0,0.495,0,1.94195709403894,1.82454371826771,2.08613238007362
"A. Intervention use reduction","committed","horizon_mean",0.5025,0,0.5025,0,1.95523920081309,1.83637779626643,2.10097993518629
"A. Intervention use reduction","committed","horizon_mean",0.51,0,0.51,0,1.96847284114331,1.84813818893741,2.11514045850848
"A. Intervention use reduction","committed","horizon_mean",0.5175,0,0.5175,0,1.98165972430999,1.85947756091372,2.12901106630855
"A. Intervention use reduction","committed","horizon_mean",0.525,0,0.525,0,1.99480057486952,1.87061980718183,2.14254913138886
"A. Intervention use reduction","committed","horizon_mean",0.5325,0,0.5325,0,2.00789495972858,1.88166182847971,2.15630306088028
"A. Intervention use reduction","committed","horizon_mean",0.54,0,0.54,0,2.02094146859034,1.89220207769383,2.1697615301475
"A. Intervention use reduction","committed","horizon_mean",0.5475,0,0.5475,0,2.03393807943425,1.90203103023985,2.1829948732865
"A. Intervention use reduction","committed","horizon_mean",0.555,0,0.555,0,2.04688286702864,1.9120837886448,2.19613120473988
"A. Intervention use reduction","committed","horizon_mean",0.5625,0,0.5625,0,2.05977459278387,1.92134733265628,2.20894685363078
"A. Intervention use reduction","committed","horizon_mean",0.57,0,0.57,0,2.0726121945967,1.93113263623548,2.2220360171772
"A. Intervention use reduction","committed","horizon_mean",0.5775,0,0.5775,0,2.08539429064095,1.94255442521996,2.23482807125844
"A. Intervention use reduction","committed","horizon_mean",0.585,0,0.585,0,2.09811915497135,1.95468925259589,2.24796127775829
"A. Intervention use reduction","committed","horizon_mean",0.5925,0,0.5925,0,2.11078485533169,1.96616053559372,2.26262825621179
"A. Intervention use reduction","committed","horizon_mean",0.6,0,0.6,0,2.12338926600627,1.97682610158776,2.27808554159335
"A. Intervention use reduction","committed","horizon_mean",0.6075,0,0.6075,0,2.13592986216517,1.98714748357535,2.29270875997204
"A. Intervention use reduction","committed","horizon_mean",0.615,0,0.615,0,2.14840334967271,1.99728987380332,2.30906903714829
"A. Intervention use reduction","committed","horizon_mean",0.6225,0,0.6225,0,2.16080556783589,2.00713034765055,2.32483947985867
"A. Intervention use reduction","committed","horizon_mean",0.63,0,0.63,0,2.17313195679885,2.01632681115098,2.34148280566433
"A. Intervention use reduction","committed","horizon_mean",0.6375,0,0.6375,0,2.1853767926855,2.02471861507726,2.36057406740935
"A. Intervention use reduction","committed","horizon_mean",0.645,0,0.645,0,2.19753260522932,2.03353034458778,2.37880352818021
"A. Intervention use reduction","committed","horizon_mean",0.6525,0,0.6525,0,2.20959055876163,2.04223826428978,2.39672710536115
"A. Intervention use reduction","committed","horizon_mean",0.66,0,0.66,0,2.22154088023178,2.05009069400224,2.41422067958555
"A. Intervention use reduction","committed","horizon_mean",0.6675,0,0.6675,0,2.2333730548873,2.05834606537219,2.43162235696981
"A. Intervention use reduction","committed","horizon_mean",0.675,0,0.675,0,2.24507587267588,2.06653776638737,2.44845437838925
"A. Intervention use reduction","committed","horizon_mean",0.6825,0,0.6825,0,2.25663740056999,2.07444816331134,2.46743272644312
"A. Intervention use reduction","committed","horizon_mean",0.69,0,0.69,0,2.2680449959722,2.08069229687842,2.48532097261094
"A. Intervention use reduction","committed","horizon_mean",0.6975,0,0.6975,0,2.27928562194191,2.08724903774141,2.50257527722592
"A. Intervention use reduction","committed","horizon_mean",0.705,0,0.705,0,2.29034703095995,2.09328935497353,2.51824645630382
"A. Intervention use reduction","committed","horizon_mean",0.7125,0,0.7125,0,2.3012200440844,2.09857780889417,2.53387137913787
"A. Intervention use reduction","committed","horizon_mean",0.72,0,0.72,0,2.31189856558315,2.10341399907607,2.54985467735291
"A. Intervention use reduction","committed","horizon_mean",0.7275,0,0.7275,0,2.32237738424423,2.10832654763041,2.56389963037012
"A. Intervention use reduction","committed","horizon_mean",0.735,0,0.735,0,2.33265132417175,2.11323922291006,2.57928384615629
"A. Intervention use reduction","committed","horizon_mean",0.7425,0,0.7425,0,2.34271517142272,2.11739322156908,2.59443135340105
"A. Intervention use reduction","committed","horizon_mean",0.75,0,0.75,0,2.35256376106123,2.11983729489831,2.61144440373981
"A. Intervention use reduction","committed","horizon_mean",0,0.0075,0,0.0075,1.0030011599467,0.999298998594721,1.00684253753507
"A. Intervention use reduction","committed","horizon_mean",0.0075,0.0075,0.0075,0.0075,1.01583490702097,1.010852549113,1.02069904246173
"A. Intervention use reduction","committed","horizon_mean",0.015,0.0075,0.015,0.0075,1.02891976250992,1.02109841753409,1.03620299833623
"A. Intervention use reduction","committed","horizon_mean",0.0225,0.0075,0.0225,0.0075,1.04224796916744,1.03142478176544,1.0528500636421
"A. Intervention use reduction","committed","horizon_mean",0.03,0.0075,0.03,0.0075,1.05580941137835,1.04206641549971,1.06983185893036
"A. Intervention use reduction","committed","horizon_mean",0.0375,0.0075,0.0375,0.0075,1.06959316857723,1.05321829649557,1.08705585618463
"A. Intervention use reduction","committed","horizon_mean",0.045,0.0075,0.045,0.0075,1.08358711211803,1.06426377110008,1.10400091228218
"A. Intervention use reduction","committed","horizon_mean",0.0525,0.0075,0.0525,0.0075,1.09777776868952,1.07560806003871,1.12104813697539
"A. Intervention use reduction","committed","horizon_mean",0.06,0.0075,0.06,0.0075,1.11215030836535,1.08738862542377,1.13818126537477
"A. Intervention use reduction","committed","horizon_mean",0.0675,0.0075,0.0675,0.0075,1.12668881425779,1.09949600121531,1.15528355765157
"A. Intervention use reduction","committed","horizon_mean",0.075,0.0075,0.075,0.0075,1.14137686563568,1.11174616678369,1.17226654200824
"A. Intervention use reduction","committed","horizon_mean",0.0825,0.0075,0.0825,0.0075,1.15619795650058,1.12420529247833,1.18908566934289
"A. Intervention use reduction","committed","horizon_mean",0.09,0.0075,0.09,0.0075,1.17113571826175,1.13707774596305,1.20567764144685
"A. Intervention use reduction","committed","horizon_mean",0.0975,0.0075,0.0975,0.0075,1.18617392518778,1.15001025658342,1.22221750070862
"A. Intervention use reduction","committed","horizon_mean",0.1,0.0075,0.1,0.0075,1.19120616438928,1.15440508802684,1.22783370686731
"A. Intervention use reduction","committed","horizon_mean",0.105,0.0075,0.105,0.0075,1.20129616927717,1.16331955293897,1.23866196444141
"A. Intervention use reduction","committed","horizon_mean",0.1125,0.0075,0.1125,0.0075,1.21648509164424,1.17630389557543,1.25517487014178
"A. Intervention use reduction","committed","horizon_mean",0.12,0.0075,0.12,0.0075,1.23172209984136,1.18966154484186,1.27178518808191
"A. Intervention use reduction","committed","horizon_mean",0.1275,0.0075,0.1275,0.0075,1.24698818373821,1.20272135161101,1.28824110791815
"A. Intervention use reduction","committed","horizon_mean",0.135,0.0075,0.135,0.0075,1.26226609439769,1.21572431915999,1.30460664547012
"A. Intervention use reduction","committed","horizon_mean",0.1425,0.0075,0.1425,0.0075,1.27754456534341,1.22880166823424,1.32136804122392
"A. Intervention use reduction","committed","horizon_mean",0.15,0.0075,0.15,0.0075,1.29281669011152,1.24172072072808,1.3383150137305
"A. Intervention use reduction","committed","horizon_mean",0.1575,0.0075,0.1575,0.0075,1.30807580349406,1.25451646243402,1.35521454030017
"A. Intervention use reduction","committed","horizon_mean",0.165,0.0075,0.165,0.0075,1.32331442204181,1.26754772430419,1.372295693909
"A. Intervention use reduction","committed","horizon_mean",0.1725,0.0075,0.1725,0.0075,1.33852491623689,1.28053323896334,1.38966565660279
"A. Intervention use reduction","committed","horizon_mean",0.18,0.0075,0.18,0.0075,1.35370138100873,1.29360112279617,1.40701219285745
"A. Intervention use reduction","committed","horizon_mean",0.1875,0.0075,0.1875,0.0075,1.36883939656326,1.30654635165938,1.42477255027426
"A. Intervention use reduction","committed","horizon_mean",0.195,0.0075,0.195,0.0075,1.38393456751475,1.31946169082047,1.44230458784163
"A. Intervention use reduction","committed","horizon_mean",0.2025,0.0075,0.2025,0.0075,1.39898220059786,1.33236772066243,1.45990775392249
"A. Intervention use reduction","committed","horizon_mean",0.21,0.0075,0.21,0.0075,1.41397752572065,1.34558827906126,1.47779429283641
"A. Intervention use reduction","committed","horizon_mean",0.2175,0.0075,0.2175,0.0075,1.42891621176293,1.35878033160426,1.49534113134927
"A. Intervention use reduction","committed","horizon_mean",0.225,0.0075,0.225,0.0075,1.4437953993118,1.37198749287708,1.51240769694031
"A. Intervention use reduction","committed","horizon_mean",0.2325,0.0075,0.2325,0.0075,1.45861448919368,1.38552681879953,1.53008049148682
"A. Intervention use reduction","committed","horizon_mean",0.24,0.0075,0.24,0.0075,1.47337410471762,1.39848648324246,1.54757971317972
"A. Intervention use reduction","committed","horizon_mean",0.2475,0.0075,0.2475,0.0075,1.48807514697335,1.41165751271494,1.56496424393358
"A. Intervention use reduction","committed","horizon_mean",0.25,0.0075,0.25,0.0075,1.4929626540287,1.41566353496382,1.57078237234094
"A. Intervention use reduction","committed","horizon_mean",0.255,0.0075,0.255,0.0075,1.50271864671119,1.42415321339897,1.58257288468845
"A. Intervention use reduction","committed","horizon_mean",0.2625,0.0075,0.2625,0.0075,1.51730565536367,1.43664532810372,1.60013693290326
"A. Intervention use reduction","committed","horizon_mean",0.27,0.0075,0.27,0.0075,1.53183709547739,1.44890594412451,1.61783827758238
"A. Intervention use reduction","committed","horizon_mean",0.2775,0.0075,0.2775,0.0075,1.54631361876961,1.46157271864841,1.63533962290411
"A. Intervention use reduction","committed","horizon_mean",0.285,0.0075,0.285,0.0075,1.56073555241806,1.47439859568482,1.65242749205622
"A. Intervention use reduction","committed","horizon_mean",0.2925,0.0075,0.2925,0.0075,1.57510349568033,1.48659382892956,1.66923743047943
"A. Intervention use reduction","committed","horizon_mean",0.3,0.0075,0.3,0.0075,1.58941891794765,1.49943003717679,1.68586065569004
"A. Intervention use reduction","committed","horizon_mean",0.3075,0.0075,0.3075,0.0075,1.6036835486115,1.51187506185383,1.70214821765738
"A. Intervention use reduction","committed","horizon_mean",0.315,0.0075,0.315,0.0075,1.61789914788774,1.52508989055541,1.71857677050594
"A. Intervention use reduction","committed","horizon_mean",0.3225,0.0075,0.3225,0.0075,1.63206775934444,1.5388381642584,1.73439398768969
"A. Intervention use reduction","committed","horizon_mean",0.33,0.0075,0.33,0.0075,1.64619188742465,1.55235378233331,1.75035986929834
"A. Intervention use reduction","committed","horizon_mean",0.3375,0.0075,0.3375,0.0075,1.66027434446576,1.56632452234728,1.76628951723045
"A. Intervention use reduction","committed","horizon_mean",0.345,0.0075,0.345,0.0075,1.67431742037486,1.57932900279815,1.7820112477924
"A. Intervention use reduction","committed","horizon_mean",0.3525,0.0075,0.3525,0.0075,1.68832150221678,1.59354334165521,1.79729672164419
"A. Intervention use reduction","committed","horizon_mean",0.36,0.0075,0.36,0.0075,1.70228540197763,1.60798478549356,1.81300781822307
"A. Intervention use reduction","committed","horizon_mean",0.3675,0.0075,0.3675,0.0075,1.71620733800863,1.62092873868623,1.82887530731825
"A. Intervention use reduction","committed","horizon_mean",0.375,0.0075,0.375,0.0075,1.73008520917594,1.63316124867268,1.84436635426462
"A. Intervention use reduction","committed","horizon_mean",0.3825,0.0075,0.3825,0.0075,1.74391684888584,1.64429827160293,1.86005225510461
"A. Intervention use reduction","committed","horizon_mean",0.39,0.0075,0.39,0.0075,1.75770146466042,1.6553935582349,1.87573418906744
"A. Intervention use reduction","committed","horizon_mean",0.3975,0.0075,0.3975,0.0075,1.77144212652891,1.66705747223076,1.89028845731209
"A. Intervention use reduction","committed","horizon_mean",0.4,0.0075,0.4,0.0075,1.77601354051056,1.67091640478141,1.89486257741529
"A. Intervention use reduction","committed","horizon_mean",0.405,0.0075,0.405,0.0075,1.78514446827794,1.67944735001798,1.90478858215741
"A. Intervention use reduction","committed","horizon_mean",0.4125,0.0075,0.4125,0.0075,1.79881410877816,1.69145680098787,1.9206669513321
"A. Intervention use reduction","committed","horizon_mean",0.42,0.0075,0.42,0.0075,1.81245579169172,1.70400639891236,1.9373560774467
"A. Intervention use reduction","committed","horizon_mean",0.4275,0.0075,0.4275,0.0075,1.82607306217439,1.71702851689496,1.95403069985805
"A. Intervention use reduction","committed","horizon_mean",0.435,0.0075,0.435,0.0075,1.83966799091162,1.72964772486481,1.9704752052416
"A. Intervention use reduction","committed","horizon_mean",0.4425,0.0075,0.4425,0.0075,1.85324167035057,1.74247181947092,1.98682043660461
"A. Intervention use reduction","committed","horizon_mean",0.45,0.0075,0.45,0.0075,1.86679460631138,1.75523492769633,2.00312914722643
"A. Intervention use reduction","committed","horizon_mean",0.4575,0.0075,0.4575,0.0075,1.88032625562777,1.76761745072893,2.01917903976037
"A. Intervention use reduction","committed","horizon_mean",0.465,0.0075,0.465,0.0075,1.89383471984613,1.77998259215288,2.03518174716459
"A. Intervention use reduction","committed","horizon_mean",0.4725,0.0075,0.4725,0.0075,1.90731778519946,1.79273216463455,2.05055581828483
"A. Intervention use reduction","committed","horizon_mean",0.48,0.0075,0.48,0.0075,1.92077105953005,1.80575421492076,2.06604334395441
"A. Intervention use reduction","committed","horizon_mean",0.4875,0.0075,0.4875,0.0075,1.93418730037956,1.81819427218211,2.08172465478732
"A. Intervention use reduction","committed","horizon_mean",0.495,0.0075,0.495,0.0075,1.94755739015883,1.83052787780197,2.09554228953801
"A. Intervention use reduction","committed","horizon_mean",0.5025,0.0075,0.5025,0.0075,1.96087799201491,1.84276747728352,2.11083588868493
"A. Intervention use reduction","committed","horizon_mean",0.51,0.0075,0.51,0.0075,1.97414994788676,1.85466467739741,2.12501355404163
"A. Intervention use reduction","committed","horizon_mean",0.5175,0.0075,0.5175,0.0075,1.98737498026368,1.86644843532271,2.13899869749025
"A. Intervention use reduction","committed","horizon_mean",0.525,0.0075,0.525,0.0075,2.00055381827204,1.87801353440198,2.15269277802124
"A. Intervention use reduction","committed","horizon_mean",0.5325,0.0075,0.5325,0.0075,2.01368606105226,1.8891738330698,2.16622487600014
"A. Intervention use reduction","committed","horizon_mean",0.54,0.0075,0.54,0.0075,2.02677033152429,1.89957490492924,2.17971852118849
"A. Intervention use reduction","committed","horizon_mean",0.5475,0.0075,0.5475,0.0075,2.039804631937,1.91044866957563,2.19369309272391
"A. Intervention use reduction","committed","horizon_mean",0.555,0.0075,0.555,0.0075,2.05278705930226,1.91962682952371,2.20641431484117
"A. Intervention use reduction","committed","horizon_mean",0.5625,0.0075,0.5625,0.0075,2.06571640354143,1.92922985427654,2.21943703116498
"A. Intervention use reduction","committed","horizon_mean",0.57,0.0075,0.57,0.0075,2.07859162700466,1.93880005894327,2.23192857587137
"A. Intervention use reduction","committed","horizon_mean",0.5775,0.0075,0.5775,0.0075,2.0914113601623,1.94978650979163,2.24531417618245
"A. Intervention use reduction","committed","horizon_mean",0.585,0.0075,0.585,0.0075,2.10417387880468,1.96211212379811,2.25835138803313
"A. Intervention use reduction","committed","horizon_mean",0.5925,0.0075,0.5925,0.0075,2.11687724882852,1.97410850298669,2.27218504223485
"A. Intervention use reduction","committed","horizon_mean",0.6,0.0075,0.6,0.0075,2.12951934812773,1.98435000319599,2.28795290077814
