"draw","r","P0","gamma_PrEP","beta_PrEP","prep_cov_per_funding","irr_mean","irr_ci_lower","irr_ci_upper"
31,0.165137167088687,0.226711151003838,0.0374384372241894,1.67843144505123,0.834862832911313,1.48614230971583,1.39282051351169,1.59022508633094
32,0.233008629875258,0.305659252144396,0.0712212435508617,1.35507581046184,0.766991370124742,1.47688061682024,1.38679442916383,1.57574015763344
33,0.290968774002977,0.212913193143904,0.0619510907781408,2.10437765187079,0.709031225997023,1.46891886785677,1.38178092280081,1.56270029781239
34,0.195344084990211,0.286028257012367,0.0558739281474257,1.38029676028541,0.804655915009789,1.48202632289061,1.38981198550828,1.5841387050931
35,0.204262308659963,0.301555150933564,0.0615963513179934,1.32389924856637,0.795737691340037,1.4808094635873,1.38898620001697,1.58246487960252
36,0.181352897838224,0.266894975770265,0.0484021772744,1.45396679746383,0.818647102161776,1.48393375207058,1.39109871916775,1.58680803547541
37,0.168761478562374,0.354683447498828,0.0598569030215023,1.07751924122414,0.831238521437626,1.48564886460349,1.3923563615999,1.58972748236184
38,0.248908116889652,0.323474073037505,0.0805153223823911,1.30755230524254,0.751091883110348,1.47470255011084,1.38512322109763,1.5727531530149
39,0.22212095541181,0.355447701662779,0.0789523830922686,1.14895715464683,0.77787904458819,1.47836994065456,1.38763057234835,1.57814999018765
40,0.160581994103268,0.270911045204848,0.043503435863595,1.39696853336699,0.839418005896732,1.48676235429732,1.39311080690734,1.59128146386715
41,0.359222235914785,0.317448571063578,0.114034585485412,1.56174745603157,0.640777764085215,1.45944505842897,1.37508502813022,1.54484215694316
42,0.292418124270625,0.334512188863009,0.0978174268129823,1.34215591315366,0.707581875729375,1.46871892356051,1.38161737413747,1.56246767922792
43,0.241600088193081,0.18654037842527,0.0450681718791161,2.24553841530917,0.758399911806919,1.47570416929974,1.3858878046431,1.57423572086159
44,0.148036872560624,0.251421459876001,0.0372196466146696,1.48309330187772,0.851963127439376,1.48846925639358,1.39392638514957,1.5934704084537
45,0.335355929040816,0.182178188357502,0.0610945356076029,2.6236512302294,0.664644070959184,1.46277218822155,1.37741151069885,1.5511108134074
46,0.21302851405926,0.314313138015568,0.0669576607407598,1.28431065282215,0.78697148594074,1.47961247409163,1.38833139246933,1.58036323758185
47,0.178413089015521,0.281524853110313,0.0502277186780518,1.37347691434967,0.821586910984479,1.48433430971102,1.39129061297419,1.58738452742144
48,0.277234972047154,0.230436067935079,0.0638849368526378,1.90740988928315,0.722765027952846,1.47081123548488,1.38284306923324,1.56603398906882
49,0.236972660699394,0.144473944343626,0.0342363749928453,2.88178772780326,0.763027339300607,1.4763379529813,1.38637373878362,1.57483624706667
50,0.151957287045661,0.351823711115867,0.0534621766595036,1.06475278415759,0.848042712954339,1.48793594941429,1.39366835526451,1.59295460417226
51,0.321038483816665,0.195570555813611,0.0627856747175839,2.39245064555357,0.678961516183335,1.46476038742517,1.37888494005227,1.555012930822
52,0.185269287845585,0.34488300383091,0.063896228509799,1.13059155234227,0.814730712154415,1.48340001353934,1.3906829816448,1.58624403485066
53,0.150323852722067,0.129127083420753,0.0194108806705715,2.89548185714453,0.849676147277933,1.48815816245121,1.39377569167929,1.59316964161346
54,0.341649564448744,0.21369760690257,0.0730096943220018,2.258056635221,0.658350435551256,1.46189641052762,1.37698890013785,1.54939302428179
55,0.287798697012477,0.266095279399306,0.076581874692291,1.67629975826287,0.712201302987523,1.46935603103426,1.38205738007877,1.56347025556845
56,0.300204865750857,0.350048930626363,0.105086392224918,1.29685655843967,0.699795134249143,1.46764388726042,1.38090691403211,1.56052801672378
57,0.304455743811559,0.128628983739764,0.0391618329202146,3.55081470224408,0.695544256188441,1.46705641200153,1.38062720914827,1.55942735402408
58,0.28257952228887,0.134882218446583,0.0381149528538983,3.28294152523785,0.71742047771113,1.47007529334998,1.38240371392372,1.56473781492494
59,0.191938544390723,0.285255617816001,0.0547515480628797,1.37820245359742,0.808061455609277,1.48249077683664,1.39003477273531,1.5847857494193
60,0.142413739406038,0.267934933695942,0.038157615825148,1.38256150538139,0.857586260593962,1.48923402849324,1.39429902399289,1.59439045125252
61,0.279887040262111,0.352227366920561,0.0985838752267121,1.25247161824041,0.72011295973789,1.47044612130755,1.3825837838296,1.5653916901782
62,0.349823615397327,0.189859637450427,0.066417384790934,2.57352136447352,0.650176384602673,1.46075726514667,1.37613438144417,1.54718015962919
63,0.191147475037724,0.35692217823118,0.0682247731538544,1.10039532365334,0.808852524962276,1.48259864774974,1.39009414220072,1.58496986542271
64,0.298910569690634,0.314451780170202,0.093992960750909,1.44100052488143,0.701089430309366,1.46782267499008,1.38099918223785,1.56087434817476
65,0.147722068824805,0.346085635330528,0.0511244860415727,1.07702751790789,0.852277931175195,1.48851207610554,1.39394716632968,1.59351178154411
66,0.271482422424015,0.128475837986916,0.0348789317196433,3.39414289603526,0.728517577575985,1.47160270578046,1.38332274771164,1.56723528714909
67,0.245118504681159,0.259588765762746,0.063630010095792,1.62116397104432,0.754881495318841,1.4752220527798,1.38551926465715,1.57365991981095
68,0.166985351708718,0.344620998669416,0.0575466586690219,1.10661675473157,0.833014648291282,1.4858906941598,1.39263336539339,1.5899555807718
69,0.362155780312605,0.256351865697652,0.0928393099563254,1.94285553826525,0.637844219687395,1.45903495945133,1.37479299515967,1.54404011543868
70,0.303943737584632,0.237452067285776,0.0721720688280363,1.92207936509129,0.696056262415368,1.46712719467169,1.38066045024945,1.55955179773633
71,0.280615880328696,0.216339028179646,0.0607081668420859,2.04124857864084,0.719384119671304,1.47034575524222,1.38253502009354,1.56521469190015
72,0.26175625633914,0.124790085721761,0.0326645856667686,3.44835332571665,0.73824374366086,1.47293941964434,1.38396121334276,1.5694803772522
73,0.344393733539619,0.276314175277948,0.0951608704538932,1.75365983417465,0.655606266460381,1.46151419582333,1.37674910340208,1.54864946265414
74,0.141280255804304,0.175467743463814,0.0247901276819717,2.1083508180664,0.858719744195696,1.48938816532128,1.39437451706904,1.59464383485883
75,0.370442469255067,0.346072422433644,0.128199922707402,1.45810634612955,0.629557530744933,1.45787516748411,1.37412808780131,1.54176972170728
76,0.279919952212367,0.136551503296942,0.0382234902774068,3.23083183258091,0.720080047787633,1.47044158935473,1.38258158149231,1.56538369756966
77,0.322959999437444,0.238254449944943,0.0769466570201874,1.96941058294765,0.677040000562556,1.4644938785159,1.37866270334129,1.55448965880768
78,0.359453557757661,0.178098262902349,0.0640180542307086,2.78471856071311,0.640546442242339,1.45941272953774,1.3750624087485,1.54477894518108
79,0.358830285375006,0.317926869895309,0.114081789452916,1.55844464731991,0.641169714624994,1.45949983278414,1.37512864684856,1.54494924989827
80,0.310606596292928,0.282934503760189,0.0878813231867808,1.62869056307638,0.689393403707072,1.46620558214385,1.37996129835917,1.5578515531978
81,0.175901758659165,0.179196657668799,0.0315210072297862,2.15120958366213,0.824098241340835,1.48467642740641,1.39145515402714,1.58800034999845
82,0.26894494908629,0.338781099747866,0.0911134656230872,1.28269192549354,0.73105505091371,1.4719516177665,1.38348904979352,1.56756203165734
83,0.253118879976682,0.295750659350306,0.0748600756471147,1.43818386991457,0.746881120023318,1.47412503136389,1.38468426227093,1.57178341386801
84,0.128262626298238,0.190012650769204,0.0243715216175479,1.91788884877187,0.871737373701762,1.49115786749089,1.3954898739192,1.59732443684613
85,0.291367743047886,0.301965180952102,0.0879829132530603,1.48461495391174,0.708632256952114,1.46886383300636,1.38173590670938,1.56260339178023
86,0.357647969154641,0.287760268282145,0.102916875554504,1.71865096074076,0.642352030845359,1.45966503220288,1.37526029864104,1.54527219789816
87,0.181132626079489,0.341925081498921,0.0619337879343427,1.13461126042004,0.818867373920511,1.48396376735898,1.39111441980358,1.58683771615288
88,0.137223840225488,0.22989104770124,0.0315465323990249,1.60166402390253,0.862776159774512,1.48993971840101,1.39473002674338,1.59554529473158
89,0.358146318583749,0.210749018266797,0.0754789850373927,2.34849705373538,0.641853681416251,1.45959540516736,1.37520479314057,1.54513609225103
90,0.286472938605584,0.275829845387489,0.0790177863632778,1.61413521139405,0.713527061394416,1.46953879157444,1.38214426744456,1.56379224692204
91,0.151243314321619,0.233858945891261,0.0353696020603544,1.60049536346181,0.848756685678381,1.48803308059325,1.39371524219247,1.59304861976561
92,0.276736099971458,0.320289036724716,0.0886355388868132,1.37136403060159,0.723263900028542,1.47087989977334,1.38289883032131,1.56615330157446
93,0.167003082577139,0.262942501734942,0.0439122083302801,1.45039879899636,0.832996917422861,1.48588828012166,1.3926314856966,1.58995330480698
94,0.362216836132575,0.318071696776897,0.115210923669847,1.56600642712873,0.637783163867425,1.45902642141607,1.37478623311525,1.5440234130935
95,0.317872374725994,0.308033157549798,0.0979152312847006,1.51191895020483,0.682127625274006,1.46519930547271,1.37913219248413,1.55587485403338
96,0.364792993234005,0.17078446475789,0.0623009760968979,2.92838365007498,0.635207006765995,1.45866607380863,1.37457907608253,1.54331833251027
