"instance","ycat","mean_hiv_prevalence","mean_prop_hivneg_onprep","mean_prop_hivpos_onart","mean_prop_hivpos_vlsupp","mean_prop_onart_vlsupp","mean_prop_infected_diagnosed","mean_prop_diagnosed_onart","mean_prop_condom"
1,1,27.9926849315069,27.8224508502476,63.656492081993,60.8378972254948,95.5713072454731,90.0978235581233,70.6592070682992,63.3602312837911
1,2,27.558,23.6867118412551,67.9246624700849,64.1797721474458,94.4874031327089,88.8741480922092,76.4336597332824,63.5136903873825
1,3,26.8794520547945,22.7632462313824,71.3172042571095,67.6648963724762,94.8756252844508,87.9599508962972,81.0798661218394,63.5105872145515
1,4,25.5383561643836,22.5770673895865,73.3381524668982,69.7942276170763,95.1685038213508,87.7462845898782,83.5817426247067,63.4125411541884
1,5,24.4448767123288,22.0197393911551,74.1093680970752,70.7477133171412,95.4639675359712,87.2015086868827,84.9883924958271,63.2928139292126
1,6,23.5730684931507,21.851738825622,74.1884404069203,70.6770547536654,95.2683013994113,86.6927257428279,85.5766923083204,63.1437646232072
1,7,22.9142191780822,21.3599718399767,73.519543734228,69.7694893119788,94.8992145599074,86.0762597224012,85.4108836945323,63.1217144078588
1,8,22.7366849315069,22.2692375954763,72.0295218746874,68.2726608287259,94.7855611922588,85.06723614082,84.6735389834112,63.3064104223453
1,9,23.0347671232877,22.4962136494946,71.1898242649169,67.4836450795265,94.7967835457468,84.236568899523,84.5094220181292,63.302453111402
1,10,23.0034246575342,22.4331157018079,72.8270172962652,68.8982580231878,94.6061284294893,85.1999802854278,85.476740988219,63.1439965183959
1,11,23.0657808219178,23.0030064982285,73.1139115836024,69.2074271973263,94.6582234127534,85.727761886963,85.2866044433394,63.1689741062295
1,12,23.0551506849315,22.2865678880684,72.5729272637729,68.4373467165391,94.3031862869146,86.0887307210805,84.3020141303792,63.0123129287067
1,13,23.3873698630137,21.8370397325057,73.2062864674442,69.2026557312157,94.5294193312739,86.2882696055777,84.8390476954699,63.321667736503
1,14,23.3809315068493,21.1952082344268,73.6640995282852,69.7133128824887,94.6351089032081,87.0352817818316,84.6337016394757,63.2527736560079
1,15,23.1966575342466,21.8653551331264,74.2515282689762,70.5497756760519,95.0133510545794,87.351032750563,85.0029231783195,63.2372004134894
1,16,22.8462465753425,21.7763647935273,74.2219521837073,70.1939862595747,94.5744153746052,87.8748154526395,84.4626041218176,63.2334380513597
1,17,22.0645205479452,22.3605984544398,76.1709182383434,72.3298678152576,94.9584531335149,88.3797337406861,86.1854421072179,63.176810592145
1,18,22.1380547945205,22.5494592180025,73.9131868169772,69.8999489744538,94.571157437374,86.74288313869,85.2127880592747,63.1498801698655
1,19,22.0601917808219,22.3825530464555,73.9144595913903,69.991614252302,94.6925752090505,86.8269223534961,85.1282408221775,62.8253164063352
1,20,21.9779726027397,21.9681516698042,73.9746660832337,69.8095565540739,94.3717953237688,86.8202309499913,85.204014864877,63.0287684870581
2,1,27.7707123287671,27.6282080113681,63.9141680031315,61.3332301294948,95.9616192673522,90.4231326386291,70.6875512990383,63.5588279449472
2,2,27.3366301369863,23.8587725226686,67.7263336755441,64.1610605852156,94.7357394088338,89.1792882951908,75.945461087122,63.6682331747223
2,3,26.2415342465753,22.2021454671668,71.4221818078655,67.9003208871171,95.0685195944675,88.7689609597765,80.4570726218386,63.324280938409
2,4,25.0861369863014,22.4554467830078,72.6875321667678,68.9530290380417,94.8631380557106,87.7389082763423,82.8507351621667,63.3960491402621
2,5,24.2785753424658,21.7049950161108,73.0187634646043,69.4502109451307,95.1152803989581,86.4325634787866,84.4807803349378,63.0805900950795
2,6,23.8815068493151,21.0755333787718,72.6145557651618,68.9631206547049,94.9710011623518,85.9444361160643,84.4917053103776,63.1866745995854
2,7,23.410904109589,21.402731260935,72.9224695215661,69.0139281911607,94.6433189047599,85.9642825737325,84.827326564071,63.4122174959646
2,8,23.1856712328767,21.9942760354377,72.9278556826393,69.1356232863111,94.8003051989649,86.3109912566783,84.4931855817022,63.0958334815136
