"ART_pct_reduction","PrEP_pct_reduction","year10_mean_incidence","year10_sd_incidence","P_ART_new","P_PrEP_new","delta_G_ART","delta_G_PrEP","pct_delta_ART_fund","pct_delta_PrEP_fund","G_ART_fund_new","G_PrEP_fund_new","incidence_risk_ratio","relative_incidence_change_pct","relative_incidence_risk_ratio_change_pct"
0,0,4.19188415631782,0.482079125332024,0.611528911192404,0.359420318624486,0,-9.5367431640625e-07,0,-1.67933427723018e-14,18576861745.7321,5678883170.1762,1,0,0
0,-0.00750000000000006,4.1988198733004,0.482331848057117,0.611528911192404,0.358626115438241,0,56788831.7017603,0,0.99999999999997,18576861745.7321,5622094338.47444,1.00165455836181,0.165455836181139,0.16545583618115
0,-0.015,4.20286591989947,0.484124921639873,0.611528911192404,0.357831912251996,0,113577663.403525,0,2.00000000000002,18576861745.7321,5565305506.77268,1.00261976790678,0.261976790677771,0.261976790677765
0,-0.0225000000000001,4.20900224213665,0.483965119505992,0.611528911192404,0.357037709065751,0,170366495.105288,0,3.00000000000003,18576861745.7321,5508516675.07092,1.00408362568728,0.408362568727837,0.408362568727827
0,-0.03,4.2164378519352,0.48594656438457,0.611528911192404,0.356243505879506,0,227155326.807048,0,4,18576861745.7321,5451727843.36915,1.00585743658502,0.58574365850208,0.58574365850208
0,-0.0375,4.22013693462443,0.488720439961286,0.611528911192404,0.355449302693261,0,283944158.50881,0,5,18576861745.7321,5394939011.66739,1.00673987573441,0.673987573440693,0.673987573440682
0,-0.045,4.22392410736849,0.48580143651862,0.611528911192404,0.354655099507017,0,340732990.210571,0,5.99999999999998,18576861745.7321,5338150179.96563,1.00764332931347,0.764332931347443,0.764332931347433
0,-0.0525,4.23175002762882,0.488866367606303,0.611528911192404,0.353860896320772,0,397521821.912332,0,6.99999999999995,18576861745.7321,5281361348.26387,1.00951025119597,0.951025119597322,0.951025119597326
0,-0.06,4.23553419268929,0.487585437981906,0.611528911192404,0.353066693134527,0,454310653.614094,0,7.99999999999996,18576861745.7321,5224572516.56211,1.01041298727344,1.04129872734392,1.04129872734393
0,-0.0675,4.2423192202271,0.4899603766928,0.611528911192404,0.352272489948282,0,511099485.315859,0,9.00000000000001,18576861745.7321,5167783684.86034,1.01203159773232,1.2031597732315,1.20315977323151
0,-0.0750000000000001,4.24871057762514,0.492100304188899,0.611528911192404,0.351478286762037,0,567888317.017619,0,9.99999999999998,18576861745.7321,5110994853.15858,1.01355629573438,1.35562957343828,1.35562957343827
0,-0.0825,4.25216936794171,0.492271259835869,0.611528911192404,0.350684083575792,0,624677148.719381,0,11,18576861745.7321,5054206021.45682,1.01438141164589,1.43814116458903,1.43814116458902
0,-0.0900000000000001,4.25808018314337,0.494694508159312,0.611528911192404,0.349889880389547,0,681465980.421146,0,12,18576861745.7321,4997417189.75506,1.01579147332251,1.57914733225112,1.57914733225113
0,-0.0975,4.26665594620798,0.495155130182074,0.611528911192404,0.349095677203303,0,738254812.122908,0,13,18576861745.7321,4940628358.0533,1.01783727486301,1.78372748630148,1.78372748630149
0,-0.105,4.27272364133307,0.495788256201297,0.611528911192404,0.348301474017058,0,795043643.824669,0,14,18576861745.7321,4883839526.35153,1.0192847612197,1.92847612197042,1.92847612197042
0,-0.1125,4.27578704901163,0.495823584802172,0.611528911192404,0.347507270830813,0,851832475.52643,0,15,18576861745.7321,4827050694.64977,1.02001555614731,2.00155561473118,2.00155561473119
0,-0.12,4.28467463013318,0.49967865534213,0.611528911192404,0.346713067644568,0,908621307.228192,0,16,18576861745.7321,4770261862.94801,1.02213574382191,2.21357438219076,2.21357438219076
0,-0.1275,4.2905510970005,0.499296140232288,0.611528911192404,0.345918864458323,0,965410138.929956,0,17,18576861745.7321,4713473031.24625,1.02353761149004,2.35376114900447,2.35376114900447
0,-0.135,4.29600123993966,0.505741055387824,0.611528911192404,0.345124661272078,0,1022198970.63171,0,18,18576861745.7321,4656684199.54449,1.02483777693735,2.48377769373504,2.48377769373505
0,-0.1425,4.30044185935384,0.504295677910775,0.611528911192404,0.344330458085833,0,1078987802.33348,0,19,18576861745.7321,4599895367.84272,1.02589711427793,2.58971142779321,2.58971142779321
0,-0.15,4.30814018601614,0.504730409290119,0.611528911192404,0.343536254899589,0,1135776634.03524,0,20,18576861745.7321,4543106536.14096,1.02773359791518,2.77335979151763,2.77335979151763
0,-0.1575,4.31257025862193,0.506506862786391,0.611528911192404,0.342742051713344,0,1192565465.737,0,21,18576861745.7321,4486317704.4392,1.02879041924911,2.87904192491148,2.87904192491149
0,-0.165,4.32169971806104,0.504984635575847,0.611528911192404,0.341947848527099,0,1249354297.43876,0,22,18576861745.7321,4429528872.73744,1.0309683084986,3.09683084985951,3.0968308498595
0,-0.1725,4.32797056431772,0.509528515964035,0.611528911192404,0.341153645340854,0,1306143129.14053,0,23,18576861745.7321,4372740041.03567,1.03246425781943,3.24642578194344,3.24642578194343
0,-0.18,4.33187138858009,0.509313518818637,0.611528911192404,0.340359442154609,0,1362931960.84229,0,24,18576861745.7321,4315951209.33391,1.03339482367405,3.33948236740479,3.3394823674048
0,-0.1875,4.33854588224732,0.511729323895878,0.611528911192404,0.339565238968364,0,1419720792.54405,0,25,18576861745.7321,4259162377.63215,1.03498706559161,3.49870655916058,3.49870655916058
0,-0.195,4.34555111384577,0.510451016143617,0.611528911192404,0.338771035782119,0,1476509624.24581,0,26,18576861745.7321,4202373545.93039,1.03665820709676,3.66582070967649,3.66582070967649
0,-0.2025,4.34972762760234,0.513177375528566,0.611528911192404,0.337976832595875,0,1533298455.94757,0,27,18576861745.7321,4145584714.22863,1.03765454039245,3.76545403924452,3.76545403924453
0,-0.21,4.35640271170519,0.514795830668253,0.611528911192404,0.33718262940963,0,1590087287.64933,0,28,18576861745.7321,4088795882.52687,1.03924692316209,3.92469231620866,3.92469231620867
0,-0.2175,4.36230585568806,0.514248194022622,0.611528911192404,0.336388426223385,0,1646876119.3511,0,29,18576861745.7321,4032007050.8251,1.04065515482182,4.06551548218216,4.06551548218215
0,-0.225,4.3666227412673,0.517435874565387,0.611528911192404,0.33559422303714,0,1703664951.05286,0,30,18576861745.7321,3975218219.12334,1.0416849746876,4.16849746876047,4.16849746876047
0,-0.2325,4.37229843664228,0.517843709061584,0.611528911192404,0.334800019850895,0,1760453782.75462,0,31,18576861745.7321,3918429387.42158,1.04303894706931,4.3038947069314,4.3038947069314
0,-0.24,4.38407183424449,0.521873266604078,0.611528911192404,0.33400581666465,0,1817242614.45638,0,32,18576861745.7321,3861640555.71982,1.04584756418829,4.58475641882927,4.58475641882927
0,-0.2475,4.38650490991403,0.519205021686823,0.611528911192404,0.333211613478405,0,1874031446.15815,0,33,18576861745.7321,3804851724.01806,1.04642798950035,4.64279895003506,4.64279895003505
0,-0.255,4.39399904526729,0.52391056236548,0.611528911192404,0.332417410292161,0,1930820277.85991,0,34,18576861745.7321,3748062892.31629,1.04821576203265,4.82157620326531,4.82157620326531
0,-0.2625,4.40079042650334,0.523752003500872,0.611528911192404,0.331623207105916,0,1987609109.56167,0,35,18576861745.7321,3691274060.61453,1.04983588820571,4.98358882057054,4.98358882057055
0,-0.27,4.4057985443667,0.523266787486285,0.611528911192404,0.330829003919671,0,2044397941.26343,0,36,18576861745.7321,3634485228.91277,1.0510306058259,5.10306058258972,5.10306058258971
0,-0.2775,4.4085979034128,0.525644351121301,0.611528911192404,0.330034800733426,0,2101186772.96519,0,37,18576861745.7321,3577696397.21101,1.05169841031231,5.16984103123072,5.16984103123073
0,-0.285,4.41671739362198,0.527572513924536,0.611528911192404,0.329240597547181,0,2157975604.66696,0,38,18576861745.7321,3520907565.50925,1.05363536512938,5.36353651293767,5.36353651293766
0,-0.2925,4.42368331959051,0.53005637322725,0.611528911192404,0.328446394360936,0,2214764436.36872,0,39,18576861745.7321,3464118733.80748,1.05529713003241,5.52971300324071,5.52971300324072
0,-0.3,4.42910015756656,0.529392074146601,0.611528911192404,0.327652191174691,0,2271553268.07048,0,40,18576861745.7321,3407329902.10572,1.05658935037392,5.65893503739164,5.65893503739163
0,-0.3075,4.43317187260866,0.53208418233889,0.611528911192404,0.326857987988447,0,2328342099.77224,0,41,18576861745.7321,3350541070.40396,1.05756068328539,5.75606832853855,5.75606832853854
0,-0.315,4.44121093348558,0.532520617847116,0.611528911192404,0.326063784802202,0,2385130931.474,0,42,18576861745.7321,3293752238.7022,1.05947845118572,5.94784511857249,5.94784511857249
0,-0.3225,4.44734013931106,0.530899704931668,0.611528911192404,0.325269581615957,0,2441919763.17577,0,43,18576861745.7321,3236963407.00044,1.06094061130202,6.09406113020156,6.09406113020157
