transmission.probability.insertive.infected,prop.casual.sex.acts,prop.steady.sex.acts,prep.bl.use.prop,transmission.probability.receptive.infected,prep.fraction.sd
0.001562561132422522,0.10807731339436866,0.16007379314314513,0.1562257403059332,0.0003597140819022719,0.2986805238152774
0.0018166933069584611,0.12161430810634682,0.18471815436486022,0.2569950238571998,0.00018824654807113707,0.33213881295103015
0.001487481873877743,0.12853810201507126,0.20083510866003904,0.20428580989056322,0.0002503338698177533,0.3766176115574721
0.0017080592303493447,0.09124988323731562,0.16246622502684563,0.1093643441453431,0.00025962568436103186,0.3143076736890044
0.0017321017724906181,0.10663595795711978,0.18712568343608044,0.17227081029397986,0.00019789348953414498,0.6076802979208326
0.0016786198208648719,0.10139173384410355,0.1698240445482707,0.12738497747652142,0.0003231001010233205,0.8124727228164143
0.001744726185099152,0.11964833718207639,0.2467705978820081,0.32327098587606956,0.00016593164381213394,0.24328020607316925
0.001681592127615084,0.11594614722427002,0.17366555703930756,0.1644255119667027,0.00016703745824431205,0.610677571902104
0.0014851865691729907,0.13161480469217515,0.21735850554303743,0.21591768576596324,0.00019669607549184314,0.3840210583005551
0.0013816674116233967,0.11193511416645452,0.27028770831357213,0.10804802508473993,0.00014580377408606056,0.657855474409358
0.0015310286403067096,0.1160425248724699,0.2532681472624603,0.1472936757408324,0.00010475753729437094,0.5661532084308197
0.0018706933342811293,0.10425530557436351,0.1737550267059102,0.1667525905647284,0.00033861250504274896,0.7399022524204917
0.0016236548722959666,0.11370394245668924,0.2586400354281534,0.22823881246586686,0.00014160471494135577,0.39393788548950814
0.0017386248547525528,0.10514238580761359,0.1940280077357157,0.17815657961906242,0.0003475725393059327,0.8423720969793045
0.0018309343914031146,0.10691772116040954,0.21979815864817237,0.2509627648525523,0.00021296132405020833,0.3659310371813616
0.001807081235178669,0.09480827286371085,0.2105173962703884,0.1857093650676896,0.0003478107215543047,0.7708183833010004
0.0016280323173346418,0.10164964397999326,0.26470188496467817,0.24066315722749382,0.00014634742935030172,0.28620007344124876
0.0015427410545113198,0.0897806940864408,0.27277479172850533,0.10880978678271551,0.0002393959480016984,0.7427400049646153
0.0016606319464845792,0.08953975818192919,0.17401272433556392,0.1188150591083606,0.0003106576109372732,0.5171051035958468
0.001604783196970478,0.11395762752070761,0.1836408605788311,0.18698042071284696,0.000222220349676138,0.3504566287876355
0.0015515637026611354,0.10673326401197294,0.18940003581525722,0.15011438694437546,0.0003558590526219086,0.711002048536158
0.001497143869889499,0.11035373364431833,0.2798091188023826,0.15691954857068008,9.71070692337892e-05,0.6064826436566342
0.001620867006385865,0.09297112247058043,0.2362576853338782,0.17757373817512023,0.00027747061646473515,0.4924411590494585
0.0017148294086255403,0.08969614951507651,0.1901377247540429,0.13735564602101824,0.000336515536939351,0.7083970646518071
0.0017980674650744546,0.12061874396645755,0.2109898553601504,0.20575154338929524,0.00015366237141199759,0.6574930279666031
